OTUId,FEB-AS2-1,FEB-AS2-2,FEB-AS2-3,FEB-AS2-4,FEB-GA2-1,FEB-GA2-2,FEB-GA2-3,FEB-GA2-4,FEB-CW2-1,FEB-CW2-2,FEB-CW2-3,FEB-CW2-4,APR-AS2-1,APR-AS2-2,APR-AS2-3,APR-AS2-4,APR-GA2-1,APR-GA2-2,APR-GA2-3,APR-GA2-4,APR-CW2-1,APR-CW2-2,APR-CW2-3,APR-CW2-4,AUG-AS2-1,AUG-AS2-2,AUG-AS2-3,AUG-AS2-4,AUG-GA2-1,AUG-GA2-2,AUG-GA2-3,AUG-GA2-4,AUG-CW2-1,AUG-CW2-2,AUG-CW2-3,AUG-CW2-4,NOV-AS2-1,NOV-AS2-2,NOV-AS2-3,NOV-AS2-4,NOV-GA2-1,NOV-GA2-2,NOV-GA2-3,NOV-GA2-4,NOV-CW2-1,NOV-CW2-2,NOV-CW2-3,NOV-CW2-4,Chimer_ref,Chimera_denovo
B1_D1SF08P1:74:HTGTCBCXX:1:1202:14697:74588;size=3823;,387,557,1178,462,1304,8450,231,1443,618,579,1153,334,105,257,257,2963,1375,500,450,724,193,333,333,24,604,1905,696,1505,96,444,1578,1019,646,1612,983,1725,894,664,432,781,1200,560,1625,6232,371,1141,574,2729,non_chimera_ref,non_chimera_denovo
B1_D1SF08P1:74:HTGTCBCXX:1:1101:9382:84534;size=6069;,1593,893,1661,1097,808,556,137,398,595,277,701,257,440,1550,397,2934,837,638,199,355,645,337,377,141,1485,877,1918,1381,158,313,977,1144,1108,728,847,816,1794,772,1499,1054,487,675,441,1431,1077,838,386,802,non_chimera_ref,non_chimera_denovo
B1_D1SF08P1:74:HTGTCBCXX:1:1101:14995:93870;size=4603;,1365,1344,1090,2089,231,16,7,71,16,11,39,31,1129,3258,521,3779,246,259,14,115,26,27,14,24,2556,2811,3333,4323,13,88,12,18,1433,23,50,33,2419,1745,1987,1820,19,22,8,28,863,402,29,22,non_chimera_ref,non_chimera_denovo
B10_D1SF08P1:74:HTGTCBCXX:1:1202:3635:77102;size=2102;,2,1,1,2,1390,3075,357,2216,956,971,1251,623,0,0,8,5,1027,1038,376,1004,59,120,330,30,0,0,0,1,384,909,3081,559,877,1251,1674,1311,0,0,2,1,1161,173,804,3886,122,1117,541,2346,non_chimera_ref,non_chimera_denovo
B1_D1SF08P1:74:HTGTCBCXX:1:1103:4046:52503;size=1235;,799,327,479,541,4,0,0,1,0,1,0,0,521,3877,440,2347,11,42,1,0,0,0,0,0,3727,3953,3609,2322,0,3,1,1,218,4,4,3,969,1144,2110,5560,0,1,1,2,89,23,0,0,non_chimera_ref,non_chimera_denovo
B1_D1SF08P1:74:HTGTCBCXX:1:1110:8342:15987;size=2515;,1671,880,2258,1370,5,2,0,0,0,1,0,0,285,1184,164,1790,3,2,1,1,0,0,0,0,1763,1287,1712,1675,0,1,3,2,96,3,3,0,3642,1503,1711,2031,0,0,2,3,498,9,3,2,non_chimera_ref,non_chimera_denovo
B1_D1SF08P1:74:HTGTCBCXX:1:1103:15783:27601;size=1944;,863,930,607,283,518,557,109,305,406,267,486,197,358,617,377,2353,664,494,181,242,247,187,214,37,726,288,526,225,101,324,999,982,1473,596,752,490,568,124,499,274,472,466,323,1293,986,545,176,579,non_chimera_ref,non_chimera_denovo
B10_D1SF08P1:74:HTGTCBCXX:1:1105:10703:61267;size=1307;,23,17,6,6,475,602,119,502,930,1047,559,531,9,21,10,30,439,117,147,421,230,169,407,29,16,6,19,6,198,547,3704,1755,98,722,675,293,27,2,19,5,1304,935,482,5038,46,434,328,845,CHIMERA_ref,non_chimera_denovo
B1_D1SF08P1:74:HTGTCBCXX:1:1105:11138:4836;size=1091;,494,174,51,275,982,1184,152,928,358,212,589,331,246,444,297,1929,917,517,201,610,183,306,166,41,349,392,559,668,248,517,754,882,1136,669,832,572,398,268,289,163,417,358,351,646,628,693,307,667,non_chimera_ref,non_chimera_denovo
B10_D1SF08P1:74:HTGTCBCXX:1:1102:10206:9604;size=1767;,1,0,3,5,578,3414,300,3577,646,296,1489,528,1,1,2,0,266,166,274,773,523,442,314,53,0,0,0,0,812,374,713,388,30,389,554,1186,0,0,0,0,414,588,603,518,1,132,276,949,non_chimera_ref,non_chimera_denovo
B10_D1SF08P1:74:HTGTCBCXX:1:1101:4140:57362;size=459;,79,110,50,22,445,1034,164,491,642,439,806,357,90,54,70,377,467,180,257,478,241,270,188,35,82,19,94,30,249,635,1400,1396,561,854,794,388,38,7,46,2,664,585,481,1413,216,341,280,640,non_chimera_ref,non_chimera_denovo
B1_D1SF08P1:74:HTGTCBCXX:1:1115:15626:85430;size=686;,340,892,1595,1259,1,0,2,1,0,2,1,0,106,609,108,492,0,0,0,0,0,0,0,0,601,1411,800,1311,1,0,0,0,47,1,0,0,2771,1797,786,1659,0,2,2,2,118,0,0,1,non_chimera_ref,non_chimera_denovo
B4_D1SF08P1:74:HTGTCBCXX:1:2108:17892:20125;size=118;,133,241,427,82,297,3709,70,472,230,194,239,89,45,123,89,1334,293,125,146,219,97,119,127,5,128,365,144,184,29,78,412,211,255,438,236,454,266,148,93,116,332,92,446,1448,143,301,158,791,non_chimera_ref,non_chimera_denovo
B4_D1SF08P1:74:HTGTCBCXX:1:1203:6477:75269;size=588;,1,0,2,0,772,957,131,533,369,239,542,263,5,1,3,24,599,310,195,354,124,192,144,113,0,2,1,0,223,433,1281,1122,724,734,650,412,1,1,0,1,461,556,329,1235,84,610,297,716,non_chimera_ref,non_chimera_denovo
B10_D1SF08P1:74:HTGTCBCXX:1:1204:12326:70433;size=368;,28,5,1,1,594,687,126,540,399,228,439,259,33,9,18,163,589,255,209,357,172,154,145,65,14,0,6,2,133,398,1063,1245,706,895,684,376,3,0,7,4,433,514,326,1208,278,623,328,712,non_chimera_ref,non_chimera_denovo
B10_D1SF08P1:74:HTGTCBCXX:1:1102:17729:46581;size=1170;,20,3,0,0,83,203,275,528,316,347,1412,735,36,24,84,210,281,119,406,423,476,439,156,97,17,1,0,0,772,857,230,245,99,338,544,818,2,0,3,1,414,377,357,640,34,94,336,930,non_chimera_ref,non_chimera_denovo
B10_D1SF08P1:74:HTGTCBCXX:1:1111:8411:12421;size=931;,0,0,0,0,231,634,142,447,569,560,803,290,0,0,1,0,243,60,217,260,123,155,179,60,2,0,0,0,167,566,1253,792,14,600,552,300,1,0,0,0,576,325,512,1892,1,207,255,642,non_chimera_ref,non_chimera_denovo
B1_D1SF08P1:74:HTGTCBCXX:1:1109:18459:95254;size=248;,320,151,311,367,4,0,0,1,0,2,0,0,147,1037,135,702,14,17,0,1,0,0,0,0,1008,1684,1792,1386,0,1,0,5,50,2,2,2,680,761,638,2125,0,1,0,1,52,13,0,0,non_chimera_ref,non_chimera_denovo
B10_D1SF08P1:74:HTGTCBCXX:1:1201:16796:47348;size=968;,3,0,1,1,142,760,197,567,382,332,580,588,16,11,8,24,674,410,576,533,283,350,211,60,17,0,4,1,231,509,439,371,70,376,614,893,0,3,4,0,547,398,321,510,9,157,412,690,non_chimera_ref,non_chimera_denovo
B1_D1SF08P1:74:HTGTCBCXX:1:2101:12653:92403;size=1291;,42,2,0,5,66,233,253,251,644,438,848,447,63,80,67,523,265,141,218,286,475,576,569,81,17,1,32,5,226,206,409,557,86,354,639,616,0,1,8,2,569,696,379,648,30,114,439,471,non_chimera_ref,non_chimera_denovo
B1_D1SF08P1:74:HTGTCBCXX:1:1102:3690:18439;size=1061;,460,459,1126,372,1,0,0,0,0,0,0,1,154,814,131,644,1,0,0,0,0,0,0,0,921,1956,368,569,0,0,0,1,7,0,1,0,685,1077,544,2300,1,0,0,0,57,2,0,0,non_chimera_ref,non_chimera_denovo
B10_D1SF08P1:74:HTGTCBCXX:1:1206:7106:33397;size=989;,1,1,1,0,145,991,129,1022,291,475,705,695,3,1,2,14,329,129,337,675,107,207,143,44,0,1,1,0,316,379,471,260,50,267,600,922,1,1,1,0,447,350,288,611,2,78,309,717,non_chimera_ref,non_chimera_denovo
B10_D1SF08P1:74:HTGTCBCXX:1:1101:11652:82494;size=691;,7,2,3,1,88,450,173,1406,228,767,903,659,75,4,22,197,602,238,612,687,284,529,218,84,2,1,1,0,420,252,159,120,77,159,266,611,1,0,1,0,363,214,166,391,14,96,286,645,non_chimera_ref,non_chimera_denovo
B10_D1SF08P1:74:HTGTCBCXX:1:1102:13908:16120;size=1072;,1,1,0,0,11,255,345,369,333,317,858,701,0,0,0,8,406,30,495,459,174,471,217,112,0,0,2,1,262,661,466,379,2,553,905,730,0,0,0,0,559,303,349,355,0,13,539,479,non_chimera_ref,non_chimera_denovo
