OTU,THxT1x1Bac,THxT1x2Bac,THxT1x3Bac,THxT21x1Bac,THxT21x2Bac,THxT21x3Bac,THxT3x1Bac,THxT3x2Bac,THxT3x3Bac,THxT7x1Bac,THxT7x2Bac,THxT7x3Bac,sum,Domain,Confidence_domain,Phylum,Confidence_phylum,Class,Confidence_class,Order,Confidence_order,Family,Confidence_family,Genus,Confidence_genus
OTU_1,3,1,0,9955,1148,4155,3,1,1,31,4774,2651,572326,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Oceanospirillales,1,Alcanivoracaceae,1,Alcanivorax,1
OTU_2,3429,24761,1301,5,51,17,7232,10328,12733,1583,1422,2689,423114,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Oceanospirillales,1,Oceanospirillaceae,1,Oleispira,1
OTU_3,4653,8476,511,52,273,328,972,939,3892,913,614,592,308751,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,1,Pseudoalteromonadaceae,0.98,Pseudoalteromonas,0.98
OTU_4,57,144,13,332,1956,2427,392,798,1559,3835,2181,6684,239756,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Alteromonadales,0.99,Colwelliaceae,0.94,Colwellia,0.94
OTU_5,1,11,0,871,2237,6246,4,22,15,2841,3066,1862,239329,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Thiotrichales,1,Piscirickettsiaceae,1,Cycloclasticus,1
OTU_6,190,1149,72,127,222,886,397,177,517,689,352,425,159273,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Pseudomonadales,1,Pseudomonadaceae,1,Pseudomonas,0.97
OTU_7,555,10748,101,3,18,34,496,962,1960,253,461,210,158127,Bacteria,1,Proteobacteria,1,Epsilonproteobacteria,1,Campylobacterales,1,Campylobacteraceae,1,Arcobacter,1
OTU_8,58,628,61,33,23,198,3002,3440,2511,1392,1351,4090,152364,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Oceanospirillales,1,Oceanospirillaceae,1,Thalassolituus,1
OTU_9,0,3,1,207,144,1632,0,1,0,1789,15,617,137010,Bacteria,1,Proteobacteria,1,Alphaproteobacteria,1,Rhodobacterales,1,Rhodobacteraceae,1,Pseudoruegeria,0.48
OTU_10,1,19,0,52,94,113,19,28,61,726,2378,1226,118647,Bacteria,1,Proteobacteria,1,Alphaproteobacteria,1,Rhodobacterales,1,Rhodobacteraceae,1,Pseudophaeobacter,0.99
